Games: 3283, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47655, Epsilon: 0.008
Games: 3284, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47665, Epsilon: 0.008
Games: 3285, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47676, Epsilon: 0.008
Games: 3286, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47686, Epsilon: 0.008
Games: 3287, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47698, Epsilon: 0.008
Games: 3288, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47708, Epsilon: 0.008
Games: 3289, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47717, Epsilon: 0.008
Games: 3290, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47727, Epsilon: 0.008
Games: 3291, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 47740, Epsilon: 0.008
Games: 3292, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47752, Epsilon: 0.008
Games: 3293, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47764, Epsilon: 0.008
Games: 3294, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47776, Epsilon: 0.008
Games: 3295, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47788, Epsilon: 0.008
Games: 3296, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47800, Epsilon: 0.008
Games: 3297, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47809, Epsilon: 0.008
Games: 3298, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47821, Epsilon: 0.008
Games: 3299, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47830, Epsilon: 0.008
Games: 3300, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47839, Epsilon: 0.008
Games: 3301, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47849, Epsilon: 0.008
Games: 3302, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47860, Epsilon: 0.008
Games: 3303, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47872, Epsilon: 0.008
Games: 3304, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 47885, Epsilon: 0.008
Games: 3305, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47896, Epsilon: 0.008
Games: 3306, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47906, Epsilon: 0.008
